Study_word,Study_word_raw,Studyslider.response_raw,Studyslider.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
book,Pastry,3.014388489208633,2.0338238749973243,0,0,0
cushion,T-shirt,2.0179856115107913,1.1891932079961407,1,0,1
phone,marble,2.0215827338129495,0.6397466670023277,2,0,2
marble,Chart,1.0,1.9066525419984828,3,0,3
board,Police,1.0,0.9399181669941754,4,0,4
Laptop,Poster,1.0035971223021583,0.6567369999975199,5,0,5
Chart,book,1.0035971223021583,0.62341245800053,6,0,6
T-shirt,mouse,1.0035971223021583,0.8122082499976386,7,0,7
mouse,phone,2.18705035971223,0.8609272079993389,8,0,8
Pastry,Case,1.0,0.40685245799977565,9,0,9
Case,Keys,2.5899280575539567,0.47410354200110305,10,0,10
Cruise,board,1.70863309352518,0.32278587500331923,11,0,11
Police,Laptop,2.6187050359712227,0.4732700000022305,12,0,12
Keys,Cruise,1.629496402877698,0.32349995800177567,13,0,13
Poster,cushion,2.9496402877697845,0.44041208300041035,14,0,14

extraInfo
participant,3
session,001
date,2024-11-07_14h17.58.313
expName,primming 5.0
psychopyVersion,2024.2.4
frameRate,121.33639909830866
expStart,2024-11-07 14h18.04.809663 +0530
