stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped, corrAns ,tilt , key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.017239038017578423,,0.007935901987366378,0.017239038017578423,0.5149358430062421,0.5149358430062421,0.5315896060201339,0.8147162760142237,1.9841218600049615,right,10.0,1,1,1.3687272609677166,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
1,2,8.0,1.989995522017125,,1.984272095025517,1.989995522017125,2.4982166449772194,2.4982166449772194,2.4982166449772194,2.7986669660313055,3.3174324450083077,left,-8.0,1,1,0.80586481600767,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
2,2,6.0,3.332221094984561,,3.317541563999839,3.332221094984561,3.831813717028126,3.831813717028126,3.831813717028126,4.132694541011006,4.135414433025289,right,6.0,1,1,0.2950745769776404,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
3,1,4.0,4.148430528002791,,4.135558618989307,4.148430528002791,4.649291105975863,4.649291105975863,4.649291105975863,4.949143167003058,5.066726832010318,right,4.0,0,0,0.4090758630190976,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
4,1,5.0,5.081738803011831,,5.066824501031078,5.081738803011831,5.581849278998561,5.581849278998561,5.581849278998561,5.881753878027666,6.151385497010779,right,5.0,0,0,0.5670963699813001,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
5,1,6.0,6.164753275981639,,6.151490438031033,6.164753275981639,6.665099098987412,6.665099098987412,6.665099098987412,,6.683175639016554,right,6.0,1,1,0.0013743420131504536,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
6,1,6.0,6.704717768006958,,6.6832892230013385,6.704717768006958,7.183314453985076,7.183314453985076,7.217455881007481,,7.251460244006012,right,6.0,0,0,0.057031927979551256,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
7,1,7.0,7.265723227988929,,7.251573298999574,7.265723227988929,7.748270007024985,7.748270007024985,7.765490835998207,8.048967344977427,8.73431684600655,left,-7.0,1,1,0.9787535960203968,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
8,1,7.0,8.749112899007741,,8.734405034978408,8.749112899007741,9.24892937601544,9.24892937601544,9.24892937601544,9.550020480004605,9.634063007018995,left,-7.0,1,1,0.3738141569774598,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
9,1,7.0,9.649011114030145,,9.634172164020129,9.649011114030145,10.148952994029969,10.148952994029969,10.148952994029969,10.44920233398443,11.453157384006772,right,7.0,1,1,1.300353165017441,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
